face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_female/angry_chinese_248_0_face0.png,Southeast Asian,Asian,Female,20-29,"[0.01886944 0.00277679 0.05711386 0.39678782 0.50340676 0.01713622
 0.00390916]",[0.02383781 0.0028859  0.7848477  0.18842861],[0.00142997 0.99857   ],"[1.4897345e-05 3.8473883e-03 7.6167911e-02 4.7207019e-01 3.8523003e-01
 5.4937214e-02 7.3192157e-03 3.9235456e-04 2.0807200e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_female/angry_chinese_293_0_face0.png,East Asian,Asian,Female,30-39,"[6.0527343e-02 1.0193083e-04 1.6133828e-02 8.3367568e-01 8.1681319e-02
 1.1665192e-03 6.7134225e-03]",[0.43674266 0.00115896 0.55711645 0.00498189],[0.0016089 0.9983911],"[1.1445637e-06 1.9247116e-05 4.3404629e-03 3.2130110e-01 5.6271911e-01
 1.0271538e-01 8.1364401e-03 7.5341429e-04 1.3765148e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_female/angry_chinese_485_0_face0.png,East Asian,Asian,Female,50-59,"[0.0199365  0.01290255 0.07924475 0.44301373 0.39343214 0.01361057
 0.03785973]",[0.01950977 0.00290757 0.9727928  0.00478984],[0.00410178 0.9958982 ],"[1.8746146e-05 1.3784964e-04 3.6552307e-04 9.9385250e-04 1.2936718e-02
 8.9517407e-02 5.7607669e-01 3.0277786e-01 1.7175423e-02]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_female/angry_asian_470_0_face0.png,East Asian,Asian,Female,30-39,"[4.64498939e-04 1.18066921e-04 3.32928821e-03 8.53631496e-01
 1.42130122e-01 1.21876335e-04 2.04770695e-04]",[5.4148253e-04 8.4396382e-04 9.9834520e-01 2.6936983e-04],[7.7557954e-05 9.9992239e-01],"[2.91428728e-06 2.89031130e-04 1.38824275e-02 4.08993125e-01
 4.99687970e-01 7.13387430e-02 5.48866950e-03 3.11598909e-04
 5.51540825e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_female/angry_asian_223_0_face0.png,East Asian,Asian,Female,20-29,"[1.9810479e-03 9.6525939e-05 1.0941250e-03 9.6423411e-01 3.2463592e-02
 2.3602792e-05 1.0696106e-04]",[3.1526533e-03 6.8018591e-05 9.9660057e-01 1.7873722e-04],[0.00133757 0.9986624 ],"[1.08790655e-05 8.47753254e-04 3.69620584e-02 7.48433590e-01
 2.02930450e-01 1.03327492e-02 4.50891850e-04 2.97612878e-05
 1.81565974e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_female/angry_asian_220_0_face0.png,Latino_Hispanic,Asian,Female,20-29,"[0.01221961 0.01700654 0.40062046 0.2521883  0.30488375 0.00880673
 0.00427466]",[0.15115687 0.12617068 0.6156557  0.10701668],[0.00710047 0.9928995 ],"[7.25892533e-05 1.77218802e-02 1.31110266e-01 7.22791851e-01
 1.22350305e-01 5.72412927e-03 2.17879715e-04 1.07674523e-05
 2.27325415e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_female/angry_asian_430_0_face0.png,Black,Asian,Female,30-39,"[0.02361925 0.5497719  0.13967477 0.07441897 0.20564488 0.00094319
 0.00592712]",[0.01055954 0.04882225 0.93952346 0.00109482],[0.00759167 0.9924084 ],"[3.7594993e-05 1.9324849e-03 1.6855966e-02 1.5627007e-01 4.6970841e-01
 2.5366277e-01 9.4655819e-02 6.2950193e-03 5.8189820e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_female/angry_chinese_227_0_face0.png,East Asian,Asian,Female,20-29,"[1.0890491e-02 3.0488744e-05 6.2311483e-03 9.4231689e-01 3.9105162e-02
 4.0492628e-04 1.0209573e-03]",[6.5761857e-02 8.3261009e-05 9.3325597e-01 8.9896255e-04],[0.00170407 0.9982959 ],"[7.3602394e-07 2.7150329e-04 6.0845017e-02 8.5870194e-01 7.9066128e-02
 1.1018206e-03 1.1941443e-05 9.6699443e-07 4.2723084e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_female/angry_chinese_213_0_face0.png,Latino_Hispanic,Asian,Female,20-29,"[0.0687039  0.21118589 0.27752295 0.18502645 0.2492737  0.00313526
 0.00515188]",[0.00692071 0.22893316 0.75874126 0.00540481],[0.01569836 0.9843017 ],"[2.1627107e-05 1.7177317e-03 9.0108722e-02 7.0665020e-01 1.8505426e-01
 1.5429591e-02 9.4697525e-04 6.7507572e-05 3.4343500e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_female/angry_chinese_26_0_face0.png,East Asian,Asian,Female,20-29,"[5.0398321e-03 8.0035978e-05 2.7594708e-03 9.4575548e-01 4.5399878e-02
 3.1760448e-04 6.4776227e-04]",[5.0895698e-03 3.4727607e-04 9.9420160e-01 3.6162400e-04],[5.9622616e-05 9.9994034e-01],"[1.9271940e-06 8.5051019e-05 1.5809350e-02 5.9814221e-01 3.5542062e-01
 2.9546393e-02 9.3359197e-04 5.9694521e-05 1.1492272e-06]"
