face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_male/angry_chinese_49_0_face0.png,Latino_Hispanic,Asian,Male,20-29,"[0.19772473 0.02508487 0.5117288  0.0640742  0.11137091 0.01668546
 0.07333096]",[0.05507673 0.02519611 0.9003151  0.01941208],[0.99125904 0.00874096],"[9.6002941e-06 8.0344481e-03 4.1800523e-01 4.7553530e-01 9.1919117e-02
 6.2952465e-03 1.9364878e-04 7.1180152e-06 3.3775422e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_male/mad_asian_7_0_face0.png,East Asian,Asian,Male,30-39,"[4.0521474e-05 4.2828692e-06 1.3865315e-04 9.3253958e-01 6.7243569e-02
 2.8731347e-05 4.6094101e-06]",[1.4722940e-04 4.6014124e-05 9.9938202e-01 4.2476025e-04],[0.99852556 0.00147444],"[9.0202138e-07 1.8410134e-05 5.8256732e-03 3.3347049e-01 5.6057924e-01
 9.7047500e-02 2.8317508e-03 2.2195715e-04 4.0754940e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_male/angry_chinese_72_0_face0.png,East Asian,Asian,Male,20-29,"[0.00229344 0.00421235 0.03589895 0.63430685 0.32111797 0.00074904
 0.00142152]",[0.00232964 0.00948551 0.9866241  0.00156072],[0.88937527 0.1106247 ],"[1.0312812e-05 5.2951212e-04 3.3537839e-02 5.4646808e-01 3.7020099e-01
 4.6888884e-02 2.2687681e-03 9.2345472e-05 3.2102112e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_male/angry_chinese_68_0_face0.png,Southeast Asian,Asian,Male,20-29,"[0.04058751 0.01626819 0.18359599 0.2973246  0.46004882 0.00127287
 0.00090202]",[3.3601380e-03 1.0377894e-03 9.9554271e-01 5.9372102e-05],[9.9990803e-01 9.1946364e-05],"[3.6478712e-06 7.7399658e-05 2.0747012e-02 6.9997269e-01 2.6885632e-01
 1.0116197e-02 2.1694534e-04 9.2920918e-06 5.0477701e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_male/angry_chinese_1_0_face0.png,East Asian,Asian,Male,30-39,"[4.3810708e-03 1.6929618e-03 1.3356390e-02 7.4913579e-01 2.3031619e-01
 3.7076476e-04 7.4678875e-04]",[3.0551457e-03 1.0699218e-03 9.9490672e-01 9.6818630e-04],[9.9951684e-01 4.8319896e-04],"[3.6263136e-05 2.5768596e-04 1.7523721e-02 2.5627133e-01 3.4924173e-01
 2.7047494e-01 8.5958928e-02 1.9124780e-02 1.1105799e-03]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_male/mad_chinese_2_0_face0.png,East Asian,Asian,Male,20-29,"[2.4525553e-03 1.1412970e-03 2.5145655e-02 7.0784479e-01 2.6210931e-01
 4.4135112e-04 8.6494372e-04]",[3.4552093e-03 1.2163054e-03 9.9467987e-01 6.4862141e-04],[9.999183e-01 8.171223e-05],"[8.08929508e-06 1.57527873e-04 3.23906131e-02 3.92101049e-01
 3.70079130e-01 1.73145965e-01 2.79644355e-02 4.03930759e-03
 1.13896145e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_male/angry_chinese_8_0_face0.png,East Asian,Asian,Male,40-49,"[5.38902357e-02 1.82503703e-04 1.08229555e-02 7.25750029e-01
 2.07664326e-01 1.13624264e-03 5.53752063e-04]",[3.4147151e-02 2.8556780e-04 9.6325803e-01 2.3092474e-03],[0.79364794 0.2063521 ],"[1.4228927e-05 1.8574859e-04 2.2517713e-03 2.6661413e-02 1.9475590e-01
 5.2182156e-01 2.4177551e-01 1.2315767e-02 2.1810656e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_male/angry_chinese_5_0_face0.png,East Asian,Asian,Male,30-39,"[2.3244412e-03 7.6735989e-05 2.9776802e-03 8.4475917e-01 1.4938141e-01
 9.8383709e-05 3.8212875e-04]",[1.6227063e-04 1.5028239e-05 9.9977928e-01 4.3362506e-05],[9.9922401e-01 7.7600294e-04],"[1.9804658e-05 7.5178395e-04 4.8325878e-02 3.6097968e-01 4.3578342e-01
 1.3705134e-01 1.5909895e-02 1.1418051e-03 3.6356756e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_male/angry_asian_514_0_face0.png,East Asian,Asian,Male,20-29,"[1.2436980e-02 9.7182106e-05 4.1612792e-03 8.8478088e-01 9.7025447e-02
 3.0089788e-05 1.4680298e-03]",[3.81417945e-02 1.18234915e-04 9.61701751e-01 3.82489197e-05],[0.99105924 0.00894076],"[4.2839372e-07 1.3855769e-04 5.0758068e-02 7.1831816e-01 2.1817598e-01
 1.2016306e-02 5.7392247e-04 1.8156075e-05 4.3717188e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_anger_male/angry_asian_52_0_face0.png,East Asian,Asian,Male,20-29,"[2.1809243e-02 8.1275898e-04 1.2385963e-02 8.5869241e-01 1.0305882e-01
 1.4635941e-03 1.7771568e-03]",[0.1744912  0.00294636 0.81408846 0.00847402],[0.9662527  0.03374735],"[7.3681740e-06 1.4749726e-03 9.8519102e-02 7.2931367e-01 1.6007324e-01
 1.0156176e-02 4.3227363e-04 2.1840517e-05 1.3466009e-06]"
