face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_female/angry_woman_18_0_face0.png,Southeast Asian,Asian,Female,20-29,"[0.07256713 0.00171804 0.07940479 0.38526863 0.45403156 0.00088407
 0.00612573]",[0.1302058  0.01677241 0.84686786 0.00615393],[6.1863801e-04 9.9938136e-01],"[3.8388396e-07 1.1312839e-04 1.7822189e-02 6.2301052e-01 3.4833395e-01
 1.0560173e-02 1.5697097e-04 2.6865532e-06 5.0162374e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_female/awe_student_129_2_face0.png,East Asian,Asian,Female,20-29,"[0.03420774 0.06135721 0.12806356 0.55006075 0.20559953 0.00927963
 0.0114316 ]",[0.03049488 0.00717582 0.95674306 0.00558622],[0.09792424 0.90207577],"[1.24388316e-04 1.51582751e-02 8.86774212e-02 4.70340639e-01
 3.47611547e-01 6.51992336e-02 1.10744853e-02 1.70145952e-03
 1.12590984e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_female/afraid_student_3_0_face0.png,East Asian,Asian,Female,20-29,"[4.2473376e-02 6.3030224e-04 2.2654410e-02 8.0159885e-01 1.2468697e-01
 3.3444304e-03 4.6115932e-03]",[4.0646207e-02 6.0554076e-04 9.5732635e-01 1.4219191e-03],[0.00212726 0.99787277],"[3.87204909e-06 5.19502501e-04 3.97597179e-02 7.60064304e-01
 1.77375391e-01 2.11528670e-02 1.00684341e-03 1.06442836e-04
 1.10651208e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/expressionless_asian_846_1_face0.png,East Asian,Asian,Female,10-19,"[0.040684   0.00990693 0.06357336 0.70042455 0.04316382 0.00255805
 0.13968943]",[0.0249232  0.0144116  0.9512422  0.00942305],[0.44940487 0.5505951 ],"[4.69850165e-05 3.01398318e-02 5.25748491e-01 2.79231876e-01
 1.13802254e-01 3.82621810e-02 9.73999314e-03 2.83149048e-03
 1.96842680e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_female/disgust_teacher_127_5_face0.png,East Asian,Asian,Female,20-29,"[0.02235025 0.00243376 0.08316048 0.6954414  0.1718243  0.01773471
 0.00705514]",[0.00931507 0.00151418 0.9800722  0.00909854],[0.00127217 0.9987278 ],"[1.1852314e-06 8.4679479e-05 2.2885296e-02 8.1407088e-01 1.5993048e-01
 2.9841003e-03 4.0011520e-05 3.2821881e-06 1.1387464e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_female/astound_mother_391_0_face0.png,East Asian,Asian,Female,20-29,"[9.2940927e-03 1.5534127e-02 1.2834075e-02 8.1894135e-01 1.3937896e-01
 6.3346984e-04 3.3839152e-03]",[0.01135752 0.04197196 0.9431009  0.00356957],[0.01789241 0.98210764],"[1.0086560e-04 5.1220488e-03 6.2805966e-02 5.4176891e-01 2.8871047e-01
 8.1438519e-02 1.5835091e-02 3.7470586e-03 4.7113851e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_female/boring_people_3_0_face0.png,East Asian,Asian,Female,30-39,"[4.5092075e-04 1.1987098e-03 6.8457157e-04 7.3706543e-01 2.6046717e-01
 5.8023990e-05 7.5263764e-05]",[1.5025835e-04 1.7767501e-04 9.9965668e-01 1.5325020e-05],[0.01875266 0.98124737],"[1.1315564e-05 1.2680285e-03 1.5994780e-02 2.2515191e-01 4.6457440e-01
 2.2457846e-01 6.4053737e-02 4.0527717e-03 3.1454719e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_female/angry_face_93_0_face0.png,White,Asian,Female,20-29,"[6.9633484e-01 3.2667655e-03 1.2930140e-01 8.9196235e-02 6.2165696e-02
 1.8061340e-04 1.9554412e-02]",[0.15655418 0.08968598 0.74564075 0.0081191 ],[0.01231765 0.98768234],"[1.48541385e-05 2.52814195e-03 4.21168879e-02 3.59779626e-01
 3.42979372e-01 1.88844070e-01 5.54999076e-02 7.38364179e-03
 8.53554811e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_female/distressed_woman_131_0_face0.png,Latino_Hispanic,Asian,Female,10-19,"[0.07334996 0.01923848 0.60210127 0.23868546 0.04933126 0.001088
 0.01620563]",[0.03282807 0.01999765 0.8752356  0.07193868],[0.00506969 0.9949303 ],"[8.6054588e-06 1.6660146e-02 4.6033120e-01 4.2389038e-01 9.2087515e-02
 6.6285650e-03 3.6004611e-04 3.2300661e-05 1.3285216e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_female/annoyed_asian_55_0_face0.png,East Asian,Asian,Female,20-29,"[1.9846741e-02 1.3473291e-02 9.8429315e-02 7.8388733e-01 7.5021408e-02
 5.6177983e-04 8.7801237e-03]",[5.9975730e-03 6.6572741e-02 9.2661703e-01 8.1264187e-04],[2.0095416e-04 9.9979907e-01],"[7.64480944e-07 9.05228721e-04 9.45215374e-02 7.80204773e-01
 1.19337775e-01 4.84958570e-03 1.71623265e-04 8.52536505e-06
 2.22670664e-07]"
