face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/distressed_asian_491_0_face0.png,East Asian,Asian,Male,20-29,"[5.5073178e-04 9.7955891e-04 2.6532043e-02 5.1481396e-01 4.5668358e-01
 3.6718426e-04 7.2922194e-05]",[0.00106991 0.00278135 0.9904069  0.00574185],[9.9949604e-01 5.0393061e-04],"[2.8068418e-06 7.2807910e-05 7.4817337e-02 7.3290533e-01 1.6685723e-01
 2.2757659e-02 2.1888185e-03 3.8337626e-04 1.4620559e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/fighting_asian_17_0_face0.png,East Asian,Asian,Male,30-39,"[0.04003523 0.00635553 0.05303362 0.71680415 0.16810639 0.00152716
 0.01413787]",[8.7081544e-02 2.7992422e-04 9.1242051e-01 2.1796486e-04],[0.9756607  0.02433936],"[8.7714739e-05 4.4871241e-04 1.6523432e-02 2.7802792e-01 3.6218688e-01
 2.5155163e-01 7.4697718e-02 1.5753940e-02 7.2204671e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/fierce_chinese_348_0_face0.png,East Asian,Asian,Male,40-49,"[0.0442784  0.00125482 0.01629009 0.6577334  0.26866198 0.0034175
 0.00836395]",[2.3957741e-01 5.0461997e-04 7.5204301e-01 7.8750690e-03],[0.5183672 0.4816328],"[2.5017062e-04 1.9672464e-03 1.1674871e-02 8.8997513e-02 2.3605593e-01
 2.9188624e-01 2.5426385e-01 9.3456551e-02 2.1447722e-02]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/distressed_expression_73_1_face0.png,East Asian,Asian,Male,20-29,"[1.1730818e-03 2.1565305e-05 4.2949020e-04 9.4034833e-01 5.7889137e-02
 8.8504807e-05 4.9920971e-05]",[1.3938142e-03 8.0442833e-06 9.9844509e-01 1.5301265e-04],[0.9760786  0.02392139],"[1.7535351e-05 7.5150477e-03 4.6384209e-01 5.1177138e-01 1.6540268e-02
 3.0959895e-04 3.4669185e-06 6.3320533e-07 4.9342752e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/angry_chinese_179_0_face0.png,East Asian,Black,Male,30-39,"[0.01462352 0.01085453 0.03841044 0.7250478  0.18839633 0.00748955
 0.01517782]",[0.03032267 0.5732072  0.33348793 0.06298222],[9.9995720e-01 4.2793483e-05],"[8.4272847e-07 5.8881742e-06 3.4479960e-03 3.7573138e-01 4.8270938e-01
 1.1919398e-01 1.6473670e-02 2.3669107e-03 6.9901296e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/fierce_chinese_813_0_face0.png,East Asian,Asian,Male,20-29,"[5.5579603e-02 2.6028107e-03 2.0183140e-02 8.3376086e-01 6.3603796e-02
 1.6668167e-04 2.4103159e-02]",[3.3751596e-02 4.2297845e-03 9.6181929e-01 1.9933593e-04],[0.9596303  0.04036969],"[5.6115088e-05 5.7547558e-03 1.2751088e-01 5.8778465e-01 2.3125194e-01
 4.2271741e-02 4.8395200e-03 4.9865840e-04 3.1739728e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/amazed_chinese_51_0_face0.png,East Asian,Asian,Male,20-29,"[6.0828740e-04 7.1323098e-04 1.6388427e-03 8.9970702e-01 9.6437067e-02
 8.2349876e-04 7.2111237e-05]",[2.7624035e-04 7.0767207e-03 9.9213290e-01 5.1412918e-04],[0.99688184 0.00311814],"[6.8701792e-07 1.1615368e-04 5.2664921e-02 7.4197972e-01 1.9002105e-01
 1.4353546e-02 8.0378726e-04 5.8420446e-05 1.6684276e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/amazed_face_6_0_face0.png,East Asian,Asian,Male,20-29,"[0.0187408  0.00157104 0.07027373 0.6698067  0.2372317  0.00151073
 0.00086529]",[1.2001357e-02 1.4038591e-03 9.8624605e-01 3.4874273e-04],[0.95147353 0.04852644],"[5.6641471e-05 2.3430340e-02 3.1017751e-01 6.1461103e-01 4.8550785e-02
 3.0841699e-03 7.6522192e-05 1.2196597e-05 7.4007113e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/hostile_chinese_98_0_face0.png,East Asian,White,Male,10-19,"[0.152528   0.00446602 0.19645502 0.48876208 0.12847082 0.00891727
 0.02040076]",[0.8413568  0.01225268 0.14407939 0.00231113],[0.9943714  0.00562859],"[3.1236639e-05 1.4778124e-01 5.5988306e-01 2.7143261e-01 2.0142131e-02
 7.1058446e-04 1.7566104e-05 1.3383303e-06 2.2647933e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/mad_chinese_260_1_face0.png,East Asian,Asian,Male,40-49,"[3.8921749e-05 2.8556708e-05 2.4286895e-03 7.3242533e-01 2.6489979e-01
 1.6712550e-04 1.1642613e-05]",[1.7158988e-04 2.0979175e-04 9.9937779e-01 2.4080729e-04],[9.9999857e-01 1.4410898e-06],"[1.35254902e-06 1.00779498e-05 4.49625513e-04 4.58332896e-03
 1.09374955e-01 5.94486415e-01 2.75211364e-01 1.58259645e-02
 5.69157492e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/expressionless_boy_428_8_face0.png,East Asian,Asian,Male,20-29,"[0.03524446 0.00739394 0.057957   0.45906243 0.43401077 0.00301165
 0.00331976]",[0.00932931 0.00616033 0.9822879  0.00222244],[9.999373e-01 6.270036e-05],"[2.0911089e-06 3.2780943e-03 3.6436236e-01 5.8559847e-01 4.4464823e-02
 2.2039849e-03 8.5376079e-05 4.5187594e-06 2.6677074e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/mad_face_435_0_face0.png,East Asian,Asian,Male,30-39,"[4.6241290e-05 7.7989462e-06 1.6170068e-04 9.0263110e-01 9.7111419e-02
 3.5465437e-05 6.1305950e-06]",[3.9460683e-05 2.4733543e-05 9.9961609e-01 3.1971931e-04],[0.98170155 0.01829845],"[3.9375991e-06 1.0034759e-04 1.3368539e-02 3.6584538e-01 5.0534338e-01
 1.1034250e-01 4.4761496e-03 5.0423283e-04 1.5551734e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_male/fierce_chinese_597_0_face0.png,East Asian,Asian,Male,30-39,"[7.67118356e-04 3.48565154e-05 1.79327093e-03 8.91100049e-01
 1.05162345e-01 2.86815102e-05 1.11359521e-03]",[1.3188287e-03 1.8609964e-04 9.9785453e-01 6.4051361e-04],[0.9965977  0.00340234],"[1.5287591e-05 4.4647415e-04 5.5847815e-03 1.0660789e-01 4.8177716e-01
 3.1769511e-01 8.0893420e-02 6.7594862e-03 2.2029136e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_fear_female/annoyed_father_453_0_face0.png,Latino_Hispanic,Asian,Male,10-19,"[0.03488032 0.08388689 0.32813764 0.26369116 0.21033981 0.0679049
 0.01115932]",[0.01466342 0.03426075 0.9155305  0.03554533],[0.68197244 0.31802756],"[5.0866885e-05 3.6931977e-02 5.5988109e-01 3.7471035e-01 2.7543101e-02
 8.6011406e-04 1.9457890e-05 2.6812629e-06 4.3659608e-07]"
