face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/amazed_asian_66_0_face0.png,Southeast Asian,Asian,Female,20-29,"[0.02145672 0.01568068 0.06986722 0.03414125 0.8547174  0.00250784
 0.00162891]",[0.02619305 0.089486   0.8717568  0.01256415],[0.00200083 0.9979992 ],"[9.8945156e-07 8.4260531e-04 9.1158926e-02 5.8784729e-01 3.0202252e-01
 1.7780783e-02 3.3679343e-04 9.6603599e-06 4.7414130e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/afraid_asian_336_0_face0.png,East Asian,Asian,Female,20-29,"[8.6617272e-04 1.1263709e-05 1.5427376e-03 9.7483796e-01 1.7990293e-02
 4.1488910e-04 4.3366225e-03]",[2.8321366e-03 4.5984111e-06 9.9619919e-01 9.6410600e-04],[1.2902814e-04 9.9987096e-01],"[2.7834067e-06 3.2529343e-04 2.1133400e-02 6.2470776e-01 3.0405441e-01
 4.6198193e-02 3.1883058e-03 3.7827104e-04 1.1556556e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/awe_asian_464_0_face0.png,East Asian,Asian,Female,10-19,"[1.3788666e-01 3.5525981e-04 7.6957971e-02 6.4763606e-01 4.8227355e-02
 8.5170224e-04 8.8085070e-02]",[9.688265e-02 5.777093e-04 9.019827e-01 5.569586e-04],[0.00757649 0.9924235 ],"[8.8394409e-05 1.4199333e-01 4.2063063e-01 4.0986586e-01 2.6887681e-02
 5.1747047e-04 1.5591062e-05 9.4083009e-07 7.1252273e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/afraid_asian_77_0_face0.png,East Asian,Asian,Female,3-9,"[0.02727695 0.00206269 0.09351294 0.67925346 0.1900045  0.00564304
 0.00224633]",[0.00964213 0.01639583 0.9591396  0.01482247],[0.00216611 0.9978339 ],"[4.2860821e-04 9.1674024e-01 8.2288243e-02 3.9500205e-04 1.1242909e-04
 2.4095669e-05 7.3104547e-06 2.9314162e-06 1.0876124e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/afraid_asian_201_0_face0.png,East Asian,Asian,Female,20-29,"[1.7944052e-03 3.5744888e-05 2.4449357e-03 9.0086043e-01 9.3743093e-02
 3.2096819e-04 8.0044742e-04]",[4.8119491e-03 4.1992334e-05 9.9484074e-01 3.0534290e-04],[0.0023521  0.99764794],"[2.5742936e-06 1.5247773e-04 1.5246313e-02 6.6652334e-01 3.0776888e-01
 1.0088727e-02 2.0477113e-04 1.2649107e-05 2.4209038e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/afraid_asian_333_0_face0.png,East Asian,Asian,Female,20-29,"[3.7394004e-04 3.3729366e-04 1.1256293e-03 9.0965098e-01 8.7568358e-02
 5.5798219e-04 3.8576807e-04]",[8.0865422e-05 2.2230385e-04 9.9957252e-01 1.2430488e-04],[5.4291938e-04 9.9945706e-01],"[1.5828018e-06 3.9555793e-04 8.9928783e-02 8.3307803e-01 7.4212506e-02
 2.3395796e-03 3.9698225e-05 3.9625070e-06 2.6776706e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/afraid_grandfather_608_1_face0.png,East Asian,Asian,Female,30-39,"[1.1792530e-03 2.1159287e-05 2.4568095e-04 9.8325831e-01 1.5204846e-02
 8.2947527e-06 8.2535516e-05]",[3.2681250e-04 6.2077283e-06 9.9966514e-01 1.8694832e-06],[0.00228172 0.9977183 ],"[4.4466929e-06 7.1915856e-05 8.1954729e-03 3.9876872e-01 4.5792353e-01
 1.2251910e-01 1.1513743e-02 9.5803995e-04 4.5108762e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/mad_asian_455_0_face0.png,Latino_Hispanic,Asian,Female,20-29,"[0.15909761 0.03952305 0.28052792 0.24934518 0.26231208 0.00240686
 0.00678731]",[9.7082630e-02 6.0136836e-02 8.4208727e-01 6.9329236e-04],[1.0384084e-04 9.9989617e-01],"[1.4118647e-06 5.6612829e-04 9.1874905e-02 6.5506542e-01 2.4487321e-01
 7.3938407e-03 2.1503100e-04 9.8755190e-06 2.3546050e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/amazed_asian_26_0_face0.png,East Asian,Asian,Female,20-29,"[0.02266604 0.00397384 0.05784538 0.5818267  0.32971475 0.00085089
 0.00312246]",[0.23709783 0.04255618 0.7174361  0.00290995],[0.0742906 0.9257094],"[3.3584433e-06 1.5957669e-03 1.3155088e-01 7.0604610e-01 1.5077651e-01
 9.6909199e-03 3.1116055e-04 2.3604780e-05 1.6578888e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/afraid_asian_367_0_face0.png,East Asian,Asian,Female,30-39,"[3.2005557e-03 1.3475404e-04 7.9472298e-03 9.4794238e-01 2.6553454e-02
 2.1607942e-04 1.4005499e-02]",[9.3238400e-03 1.2879186e-04 9.8972714e-01 8.2022866e-04],[6.8108668e-05 9.9993193e-01],"[1.5593324e-07 1.2014371e-05 4.2439359e-03 3.6080033e-01 5.4160631e-01
 8.5832290e-02 6.9597391e-03 5.3599087e-04 9.2338114e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/mad_asian_545_0_face0.png,East Asian,Asian,Female,20-29,"[0.33155596 0.00238814 0.0202087  0.4926286  0.05485467 0.00410975
 0.09425419]",[0.39319745 0.00885944 0.59310484 0.00483828],[0.3139709 0.6860291],"[1.49732412e-04 2.25406070e-03 2.45687086e-02 3.84537399e-01
 2.42894679e-01 1.03816867e-01 1.02889366e-01 1.04825296e-01
 3.40639353e-02]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/amazed_asian_62_0_face0.png,East Asian,Asian,Female,20-29,"[1.4413244e-03 1.2684383e-05 1.5346091e-03 9.0240812e-01 9.4113149e-02
 2.2205709e-04 2.6797751e-04]",[3.53934290e-03 3.31715128e-05 9.96307433e-01 1.20143224e-04],[0.00127907 0.9987209 ],"[1.9919339e-06 9.5314397e-05 3.9379798e-02 7.2207510e-01 2.2716127e-01
 1.1117270e-02 1.5495004e-04 1.3881774e-05 3.4351640e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/afraid_asian_310_0_face0.png,East Asian,Asian,Female,20-29,"[2.1165907e-03 1.0929812e-04 3.4417110e-03 9.6580005e-01 2.7309723e-02
 5.1274787e-05 1.1713383e-03]",[5.3875283e-03 7.1353425e-04 9.9365211e-01 2.4680328e-04],[1.18825876e-04 9.99881148e-01],"[6.8618765e-06 2.6073901e-03 6.4867675e-02 6.4114720e-01 2.5920275e-01
 2.7339978e-02 4.0709930e-03 6.8999367e-04 6.7118286e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/amazed_asian_43_0_face0.png,East Asian,Asian,Female,20-29,"[3.9386782e-03 1.0926114e-04 1.8864191e-03 9.1429192e-01 7.9497471e-02
 2.4705969e-05 2.5156842e-04]",[3.9357548e-03 2.6478061e-05 9.9602234e-01 1.5446014e-05],[0.01017255 0.9898274 ],"[1.8251558e-06 8.5425103e-04 5.4377630e-02 7.0840615e-01 2.1493582e-01
 2.0734889e-02 6.4983178e-04 3.6541202e-05 3.0571466e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/amazed_asian_114_0_face0.png,East Asian,Asian,Female,20-29,"[7.9668993e-03 9.2011454e-05 1.8137081e-03 9.6521485e-01 2.4794517e-02
 6.1513638e-05 5.6446501e-05]",[1.1626887e-02 9.4158476e-04 9.8728734e-01 1.4422147e-04],[0.00102648 0.99897355],"[3.32377408e-06 8.06030468e-04 4.97124717e-02 8.26223433e-01
 1.20301701e-01 2.84246798e-03 1.05781204e-04 4.68131520e-06
 1.21450540e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/afraid_asian_381_0_face0.png,East Asian,Asian,Female,20-29,"[5.5399337e-03 1.0117209e-04 9.6083693e-03 7.3988360e-01 2.3216920e-01
 1.3074533e-03 1.1390334e-02]",[4.4477200e-03 1.9530245e-05 9.9481279e-01 7.2000641e-04],[0.00551408 0.9944859 ],"[1.9098774e-05 6.3589105e-04 2.3263397e-02 6.5982985e-01 3.0194911e-01
 1.3897052e-02 3.6593611e-04 3.7983391e-05 1.7052821e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/afraid_asian_305_0_face0.png,East Asian,Asian,Female,20-29,"[6.40016655e-03 1.09945046e-04 5.23300841e-03 9.47278321e-01
 3.39675955e-02 2.74112070e-04 6.73687691e-03]",[7.5232927e-03 2.9345477e-04 9.9136180e-01 8.2142063e-04],[1.4107229e-04 9.9985898e-01],"[1.43603336e-06 1.81882657e-04 1.43041015e-02 6.24783814e-01
 3.31851333e-01 2.71183606e-02 1.62304391e-03 1.31039953e-04
 5.07344612e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/angry_asian_124_0_face0.png,East Asian,Asian,Female,20-29,"[2.7308342e-04 1.8200652e-05 6.0477742e-04 8.3240145e-01 1.6664858e-01
 3.7502847e-05 1.6414762e-05]",[9.1372320e-05 2.7701399e-05 9.9984390e-01 3.7058271e-05],[0.04046422 0.9595358 ],"[1.58915500e-04 4.37101256e-03 1.11212194e-01 6.54199660e-01
 2.12164968e-01 1.73551328e-02 4.68465849e-04 6.55254335e-05
 4.18491982e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/awe_asian_280_0_face0.png,East Asian,Asian,Female,20-29,"[7.2863041e-03 3.3699922e-04 3.7398594e-03 9.0299439e-01 8.4359057e-02
 1.7695985e-04 1.1064209e-03]",[2.7388697e-02 1.8601374e-03 9.7044581e-01 3.0533009e-04],[0.00323614 0.9967638 ],"[5.5243421e-05 2.0680157e-02 1.7393646e-01 7.3055476e-01 7.2179012e-02
 2.4579170e-03 1.2303608e-04 1.2297383e-05 1.0979605e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/mad_asian_55_0_face0.png,Southeast Asian,Asian,Female,20-29,"[6.85560110e-04 1.08732245e-04 3.05469125e-03 4.63228792e-01
 5.32299757e-01 4.50712687e-04 1.71749925e-04]",[9.8250119e-04 9.9013187e-06 9.9893934e-01 6.8203422e-05],[0.00213988 0.9978601 ],"[9.3163017e-06 3.5895209e-04 2.4469256e-02 6.7834771e-01 2.7420911e-01
 2.1975612e-02 5.7909120e-04 4.9486483e-05 1.4785844e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_female/angry_asian_595_0_face0.png,East Asian,Asian,Female,20-29,"[4.9612480e-03 2.8989802e-04 1.8358328e-03 7.4750257e-01 2.4531077e-01
 3.8404185e-05 6.1309489e-05]",[9.5488242e-04 1.2284924e-03 9.9771267e-01 1.0395476e-04],[5.081781e-04 9.994919e-01],"[8.1312976e-07 9.7570952e-04 1.0975898e-01 8.4785652e-01 4.0370654e-02
 1.0239424e-03 1.2473551e-05 7.9761077e-07 8.0327226e-08]"
