face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_male/amazed_asian_2_0_face0.png,East Asian,Asian,Male,20-29,"[1.9304960e-03 1.5971260e-04 2.2554700e-03 9.0598452e-01 8.9363977e-02
 2.2988458e-04 7.6011886e-05]",[0.00872122 0.00157869 0.98454124 0.00515885],[9.9993926e-01 6.0701859e-05],"[2.8452539e-06 1.7548313e-03 3.0041119e-01 6.3970524e-01 5.3792514e-02
 4.0735528e-03 2.3500055e-04 2.4000592e-05 8.1589593e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_male/mad_asian_77_0_face0.png,East Asian,Asian,Male,30-39,"[1.5869066e-03 1.9321227e-05 1.0858586e-02 7.4266332e-01 2.4381013e-01
 9.2903775e-04 1.3271812e-04]",[9.2453358e-04 9.7172240e-05 9.9239737e-01 6.5809884e-03],[9.9901646e-01 9.8353322e-04],"[2.7163446e-06 6.0102117e-04 9.0452150e-02 4.0638760e-01 4.1514832e-01
 8.3897375e-02 3.2919284e-03 2.1485607e-04 3.9784913e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_male/fear_asian_147_0_face0.png,Southeast Asian,Asian,Male,40-49,"[6.6315883e-04 5.2218623e-03 5.6107070e-02 1.9691241e-01 7.3941004e-01
 1.2161381e-03 4.6927214e-04]",[8.2382589e-04 1.4498174e-02 9.7933936e-01 5.3386837e-03],[9.995048e-01 4.951891e-04],"[2.8815813e-05 8.3043060e-04 1.3485649e-02 8.7747604e-02 3.6324629e-01
 4.2247441e-01 1.0599895e-01 6.0025421e-03 1.8536887e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_male/hostile_asian_730_0_face0.png,East Asian,Asian,Male,20-29,"[5.7391268e-03 7.9966523e-04 7.5900001e-03 7.0179743e-01 2.8162411e-01
 1.9647263e-03 4.8491859e-04]",[1.0639661e-03 1.6270108e-04 9.9781221e-01 9.6112571e-04],[0.9982573  0.00174274],"[1.3135814e-07 1.0505094e-04 1.2744223e-01 8.3095056e-01 4.1185819e-02
 3.1422044e-04 1.8463054e-06 1.2389505e-07 4.1251189e-09]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_male/afraid_yang_797_0_face0.png,East Asian,Asian,Male,20-29,"[5.6772109e-04 1.7528941e-05 6.6774577e-04 9.7108966e-01 2.7614649e-02
 2.2793878e-05 1.9914805e-05]",[1.8398397e-04 3.9560586e-05 9.9970096e-01 7.5517230e-05],[0.8695408  0.13045917],"[2.4752785e-07 1.5276539e-04 3.4758404e-01 6.2521321e-01 2.6616553e-02
 4.2735485e-04 5.2213913e-06 5.9076535e-07 2.2699695e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_male/amazed_asian_14_0_face0.png,Southeast Asian,Asian,Male,20-29,"[1.2992416e-03 9.8279826e-03 1.4495071e-02 3.4539297e-01 6.2861359e-01
 3.0908457e-04 6.2086590e-05]",[2.5899368e-04 2.9943560e-03 9.9632436e-01 4.2221564e-04],[9.9994290e-01 5.7129928e-05],"[4.1561549e-07 9.0161360e-05 1.3273633e-01 8.3724695e-01 2.9393628e-02
 5.2137941e-04 1.0168214e-05 8.5149134e-07 4.6043745e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_male/amazed_asian_91_0_face0.png,Southeast Asian,Indian,Male,20-29,"[0.00368931 0.02753144 0.15956399 0.03942304 0.4291982  0.31520718
 0.02538676]",[0.00728673 0.02367686 0.20564087 0.76339555],[0.6305094  0.36949062],"[1.4740260e-05 4.9567674e-03 2.0637465e-01 5.3934163e-01 2.2909078e-01
 1.9162659e-02 9.9373364e-04 6.1651277e-05 3.3357908e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_male/mad_asian_113_0_face0.png,East Asian,Asian,Male,20-29,"[0.07086214 0.00070013 0.14813665 0.57468474 0.16894631 0.0030046
 0.03366543]",[0.01009466 0.00160753 0.9556608  0.03263696],[9.9997753e-01 2.2472106e-05],"[5.4467391e-06 9.5273843e-03 3.5293680e-01 5.5775011e-01 7.4287295e-02
 5.3018038e-03 1.7811214e-04 1.2750690e-05 3.8077985e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_male/amazed_asian_5_0_face0.png,East Asian,Asian,Male,20-29,"[2.8107399e-03 3.7526654e-04 5.3184899e-03 6.3016385e-01 3.6109596e-01
 2.0846665e-04 2.7181008e-05]",[0.03330506 0.0014343  0.96374977 0.00151078],[0.9933826 0.0066174],"[3.9142375e-07 2.9771385e-04 1.2907378e-01 8.0381882e-01 6.4818136e-02
 1.9400237e-03 4.8546495e-05 2.3350287e-06 9.6729444e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/asian_surprise_male/amazed_asian_34_0_face0.png,East Asian,Asian,Male,20-29,"[3.9423383e-03 1.0638494e-05 4.3128813e-03 9.0706152e-01 8.4270306e-02
 9.4523915e-05 3.0779932e-04]",[2.6792656e-03 3.1887055e-05 9.9705201e-01 2.3685533e-04],[9.991677e-01 8.323736e-04],"[1.2080545e-07 1.2513433e-05 2.0251304e-02 7.8071254e-01 1.9535132e-01
 3.6450094e-03 2.6249234e-05 9.3588199e-07 1.1671889e-08]"
