face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/angry_woman_127_0_face0.png,Black,Black,Female,30-39,"[0.04220911 0.7207648  0.09314423 0.01045234 0.07385706 0.01307858
 0.04649389]",[0.02472074 0.66094446 0.31103805 0.00329674],[0.00646484 0.99353516],"[5.5420336e-05 2.8433967e-03 3.1310875e-02 3.2365352e-01 4.8185617e-01
 1.3912810e-01 1.9116418e-02 1.8482667e-03 1.8779933e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/boring_woman_144_0_face0.png,Black,Black,Female,30-39,"[0.02459719 0.8311796  0.10760085 0.0076814  0.00393423 0.00164337
 0.02336336]",[0.04914289 0.8737471  0.07200946 0.00510053],[0.00253176 0.99746823],"[3.9407863e-05 8.2435354e-04 6.5126605e-03 1.6102059e-01 4.6902722e-01
 2.6817754e-01 8.8742927e-02 5.4215165e-03 2.3375846e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/amazed_infant_503_3_face0.png,Black,Black,Female,50-59,"[5.3878341e-07 9.9946231e-01 2.8904671e-05 1.7149571e-06 2.0299653e-05
 4.8123329e-04 5.0765457e-06]",[2.4651069e-07 9.9986964e-01 5.9681906e-06 1.2417274e-04],[0.00363044 0.99636954],"[6.0311231e-07 2.7482780e-05 2.1931063e-04 4.6012057e-03 8.8100851e-02
 2.4171495e-01 3.7263191e-01 2.7102566e-01 2.1678094e-02]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/angry_asian_566_0_face0.png,Black,Black,Female,30-39,"[0.00335107 0.7263182  0.06769089 0.02497069 0.02891408 0.1471036
 0.00165155]",[0.00372772 0.68605924 0.21047993 0.09973307],[0.00301214 0.9969879 ],"[1.4747077e-06 1.6095441e-04 9.5901387e-03 3.3643565e-01 5.5677623e-01
 8.6563446e-02 1.0181306e-02 2.8539414e-04 5.4310558e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/angry_black_515_2_face0.png,Black,Black,Female,30-39,"[7.8573136e-04 9.9288201e-01 5.2990671e-03 1.7680337e-05 4.8078538e-05
 5.6837325e-04 3.9915246e-04]",[8.19099892e-04 9.97885764e-01 1.01104306e-04 1.19408732e-03],[4.4152155e-04 9.9955851e-01],"[6.4494438e-06 6.4269011e-04 1.0067289e-02 2.3071821e-01 6.1069489e-01
 1.2942305e-01 1.7965969e-02 4.7074907e-04 1.0705089e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/annoyed_lady_357_0_face0.png,Black,Black,Female,20-29,"[4.4005159e-02 6.6196436e-01 2.3691554e-01 4.9121026e-04 2.1811854e-03
 4.2857762e-02 1.1584853e-02]",[0.03732666 0.9339624  0.01157146 0.01713944],[0.00260648 0.99739355],"[7.4065161e-07 2.3206969e-04 5.2709676e-02 7.8712112e-01 1.5757839e-01
 2.3208149e-03 3.5977893e-05 1.0944942e-06 3.6731951e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/amazed_mother_495_0_face0.png,Black,Black,Female,30-39,"[2.6269027e-04 9.9486244e-01 3.1938460e-03 4.3923275e-05 1.2560078e-04
 1.3884157e-03 1.2309288e-04]",[5.7546265e-04 9.9889648e-01 5.9919006e-05 4.6816809e-04],[0.00171331 0.9982867 ],"[6.3903358e-06 3.1415513e-04 3.9521782e-03 9.5290743e-02 5.3603244e-01
 2.9735219e-01 6.3181028e-02 3.7351351e-03 1.3573903e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/angry_black_52_0_face0.png,Black,Black,Female,30-39,"[0.02412505 0.5505381  0.249932   0.01072809 0.11142978 0.0419124
 0.01133446]",[0.01947124 0.6609407  0.30042598 0.01916204],[0.00201408 0.9979859 ],"[1.7309142e-06 1.8769591e-04 1.2827066e-02 4.1177696e-01 5.0821948e-01
 6.3825570e-02 3.0051304e-03 1.5074247e-04 5.5733353e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/angry_black_575_0_face0.png,Black,Black,Female,30-39,"[0.03565362 0.71995187 0.16278192 0.00218815 0.02081461 0.03102875
 0.0275811 ]",[0.06249226 0.5222082  0.02067796 0.39462164],[0.01155744 0.98844254],"[1.2229888e-05 9.8780867e-05 2.5628279e-03 1.7322533e-01 6.3843167e-01
 1.7336051e-01 1.2027408e-02 2.6785259e-04 1.3370048e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/angry_black_100_0_face0.png,Black,Black,Female,30-39,"[5.4602494e-04 9.8883951e-01 9.0142163e-03 8.8053268e-05 3.9362119e-04
 8.3112624e-04 2.8744835e-04]",[1.6956368e-03 9.8142028e-01 4.3006605e-04 1.6453989e-02],[0.00345939 0.9965406 ],"[7.8315225e-06 6.8666333e-05 2.0387976e-03 9.7675189e-02 5.1185226e-01
 3.0836514e-01 7.8307346e-02 1.6637089e-03 2.1065907e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/angry_lady_304_0_face0.png,Black,Black,Female,30-39,"[9.2736132e-02 4.7852704e-01 2.7787426e-01 4.4193820e-04 1.5508360e-03
 1.3971832e-01 9.1514867e-03]",[0.04459643 0.8146635  0.00291208 0.1378279 ],[0.00200573 0.9979943 ],"[8.0272075e-06 1.4861587e-04 4.6595619e-03 1.9084099e-01 5.9660578e-01
 1.8383524e-01 2.2734262e-02 1.1288474e-03 3.8705559e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/angry_american_580_0_face0.png,Black,Black,Female,30-39,"[4.3309014e-02 6.8269694e-01 2.4711874e-01 6.2325649e-04 1.5167437e-03
 2.0379182e-02 4.3560872e-03]",[0.12370435 0.82917106 0.00916908 0.03795551],[0.01153662 0.9884634 ],"[6.4609729e-08 5.3386766e-06 3.5898755e-03 3.9625522e-01 5.6554681e-01
 3.2951288e-02 1.6197164e-03 3.1399402e-05 3.7868082e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/angry_black_249_0_face0.png,Black,Black,Female,30-39,"[1.0024495e-03 9.4456464e-01 1.9066032e-02 2.0952457e-04 1.0701031e-03
 3.3696573e-02 3.9061246e-04]",[0.00954226 0.92432934 0.00211289 0.06401543],[2.4324584e-04 9.9975675e-01],"[2.5119655e-06 2.4984873e-04 1.0921061e-02 3.5018045e-01 5.3881168e-01
 8.7908499e-02 1.1598281e-02 3.2254972e-04 5.1022316e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/angry_black_64_0_face0.png,Black,Black,Female,30-39,"[2.7877798e-03 9.5052779e-01 2.0545345e-02 1.1877104e-03 6.6845445e-03
 1.7709041e-02 5.5786251e-04]",[0.00324081 0.9695612  0.00437368 0.02282421],[8.6025713e-04 9.9913973e-01],"[1.7563927e-06 5.8229030e-05 3.7423475e-03 2.3141727e-01 6.0979426e-01
 1.4550704e-01 9.3462523e-03 1.2806644e-04 4.7961571e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/angry_African_171_0_face0.png,Black,Black,Female,20-29,"[7.3502451e-05 9.8768020e-01 3.6951443e-03 3.8636409e-04 3.1225469e-03
 5.0107711e-03 3.1385640e-05]",[3.2403263e-05 9.9788785e-01 2.1669624e-04 1.8630233e-03],[3.0289267e-04 9.9969709e-01],"[3.4144489e-07 7.2431409e-05 1.1131389e-02 5.1823545e-01 4.4518897e-01
 2.4298375e-02 1.0558551e-03 1.6607079e-05 5.4675718e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_female/angry_lady_350_0_face0.png,Black,Black,Female,30-39,"[3.7054105e-03 9.6720946e-01 2.1184688e-02 6.9653773e-04 2.3302510e-03
 2.0193453e-03 2.8542650e-03]",[0.02563099 0.9250331  0.04196233 0.00737359],[0.07650204 0.923498  ],"[0.00101873 0.03252409 0.10298976 0.30012897 0.32199314 0.18795022
 0.04878046 0.00422468 0.00038998]"
