face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_male/annoyed_African_101_0_face0.png,Black,Black,Male,30-39,"[8.2874822e-06 9.9812174e-01 2.9575019e-04 4.2087942e-07 1.5038762e-05
 1.5043298e-03 5.4366763e-05]",[4.8442439e-06 9.9975616e-01 2.3724490e-06 2.3660710e-04],[9.9999630e-01 3.6520546e-06],"[1.2866528e-08 6.3787377e-07 1.0618821e-03 3.9641237e-01 5.6656688e-01
 3.5216089e-02 7.3368847e-04 8.2649794e-06 2.1832825e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_male/amazed_old_135_0_face0.png,Black,Black,Male,30-39,"[9.0904068e-06 9.9986660e-01 8.5635431e-05 2.0669708e-09 3.1741692e-08
 2.1603917e-05 1.7167902e-05]",[3.20057079e-05 9.99961853e-01 1.09662324e-07 6.10414418e-06],[1.0000000e+00 1.2812275e-08],"[2.1488896e-07 1.1128158e-06 1.4025754e-04 5.7808116e-02 4.7937292e-01
 3.8471106e-01 7.1030371e-02 6.7744898e-03 1.6138329e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_male/afraid_black_76_0_face0.png,Latino_Hispanic,Black,Male,30-39,"[0.07160139 0.2608416  0.40454322 0.00239825 0.0186888  0.1806183
 0.06130846]",[0.24153924 0.58560693 0.09938729 0.0734665 ],[0.95866704 0.0413329 ],"[1.6449083e-06 3.3215118e-05 5.1380186e-03 3.4586939e-01 5.7824004e-01
 6.6732399e-02 3.8467988e-03 1.2754818e-04 1.0922631e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_male/astound_president_939_4_face0.png,Black,Black,Male,30-39,"[1.3608253e-02 9.1016299e-01 4.4351030e-02 8.7709265e-04 2.3031733e-03
 1.2625300e-02 1.6072132e-02]",[0.00973584 0.9584607  0.00201907 0.02978444],[0.8080382 0.1919618],"[2.0471854e-05 1.7525027e-04 1.3639411e-02 3.1301650e-01 4.1219985e-01
 2.0359114e-01 5.1211543e-02 5.3633153e-03 7.8238203e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_male/angry_boss_273_0_face0.png,Black,Black,Male,30-39,"[1.1345359e-05 9.9625492e-01 5.3785567e-04 2.2295667e-07 5.6733156e-06
 2.6331895e-03 5.5669685e-04]",[8.5043248e-05 9.9964446e-01 1.2103463e-05 2.5840444e-04],[9.9999905e-01 9.8268174e-07],"[6.4906061e-07 3.2077824e-05 8.5392855e-03 4.3295455e-01 4.8397711e-01
 6.8351500e-02 5.8172499e-03 3.2157917e-04 6.0251896e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_male/angry_African_112_0_face0.png,Black,Black,Male,30-39,"[1.3251563e-04 9.6566963e-01 8.9640664e-03 2.8717174e-04 1.3696762e-02
 9.8615009e-03 1.3884091e-03]",[5.324126e-04 9.224662e-01 5.009146e-03 7.199217e-02],[9.9979180e-01 2.0821544e-04],"[5.9688055e-06 1.7258716e-04 6.9125816e-03 2.5233874e-01 5.9315324e-01
 1.3941884e-01 7.8152865e-03 1.7193488e-04 1.0787361e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_male/annoyed_student_280_0_face0.png,Black,Black,Male,30-39,"[1.4689903e-05 9.9955994e-01 2.3758587e-04 3.6092723e-07 5.0767508e-06
 1.4357101e-04 3.8713093e-05]",[5.2582633e-05 9.9964660e-01 2.1542955e-06 2.9862474e-04],[9.9986547e-01 1.3453164e-04],"[6.3016778e-06 7.1550210e-05 5.6872685e-03 3.5515913e-01 5.0833714e-01
 1.2215794e-01 8.3290087e-03 2.3253878e-04 1.9030234e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_male/amazed_president_741_0_face0.png,Black,Black,Male,40-49,"[5.80422284e-06 9.98493850e-01 2.15768974e-04 1.51256845e-05
 2.74646707e-04 8.97958816e-04 9.67798624e-05]",[1.9785302e-06 9.9923801e-01 6.2223407e-05 6.9782772e-04],[9.999061e-01 9.385135e-05],"[1.1673900e-06 3.6945144e-06 6.6670601e-04 7.4536979e-02 4.2937443e-01
 4.3020585e-01 6.2354334e-02 2.7045812e-03 1.5223982e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_male/angry_African_88_0_face0.png,Black,Black,Male,30-39,"[1.34040965e-05 9.99002099e-01 6.37133562e-05 5.93791583e-07
 9.97563529e-06 8.99524661e-04 1.06369816e-05]",[2.0098580e-05 9.9881870e-01 5.3357417e-06 1.1559440e-03],[9.9973869e-01 2.6132917e-04],"[1.0512437e-06 2.0527268e-05 1.3168142e-03 1.7048939e-01 5.4781246e-01
 2.4001710e-01 3.8314283e-02 1.9122340e-03 1.1610744e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_male/angry_African_65_0_face0.png,Black,Black,Male,30-39,"[3.3051980e-04 9.8042846e-01 1.3737652e-02 4.1019845e-05 5.6133245e-04
 4.5971381e-03 3.0390196e-04]",[3.978489e-04 9.923774e-01 5.213435e-04 6.703454e-03],[9.9982786e-01 1.7210751e-04],"[4.3092186e-06 8.4146050e-05 4.9220109e-03 2.0452288e-01 4.6475932e-01
 2.7753577e-01 4.5912359e-02 2.1250246e-03 1.3411915e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_anger_male/angry_black_58_0_face0.png,Black,Black,Male,30-39,"[0.00440032 0.49557504 0.25183183 0.01176747 0.12944083 0.08443996
 0.02254465]",[0.00818756 0.7855135  0.19083668 0.01546232],[0.9794016  0.02059842],"[1.9849087e-05 3.9965431e-03 9.6031591e-02 3.9463848e-01 4.0758741e-01
 8.9111798e-02 8.3779171e-03 2.2427288e-04 1.2162723e-05]"
