face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_male/mad_African_26_0_face0.png,Black,Black,Male,30-39,"[0.00132333 0.92639756 0.0301048  0.00251416 0.02755466 0.01116396
 0.00094149]",[0.00186232 0.9835308  0.008058   0.00654885],[9.999995e-01 4.650766e-07],"[1.9880799e-06 2.6053833e-05 6.0776081e-03 4.4795701e-01 4.6126106e-01
 8.1359103e-02 3.2601960e-03 5.5001092e-05 1.9957886e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_male/distaste_African_347_1_face0.png,Black,Black,Male,3-9,"[0.00966328 0.9312445  0.02295985 0.00163148 0.00791551 0.02405969
 0.00252575]",[0.0019998  0.9704629  0.00608732 0.02145005],[0.66906023 0.33093986],"[5.7587415e-02 9.0265387e-01 3.4556169e-02 4.3076309e-03 7.9517439e-04
 8.7154876e-05 1.0882996e-05 1.2686696e-06 3.6713300e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_male/distressed_African_222_0_face0.png,Black,Black,Male,20-29,"[6.3436873e-06 9.9866164e-01 1.1067967e-04 9.1814045e-06 1.7998136e-04
 1.0316174e-03 6.5251231e-07]",[1.9687179e-05 9.9870658e-01 7.7202916e-05 1.1965376e-03],[0.92673826 0.07326171],"[1.4540035e-07 1.1580587e-05 1.2158355e-02 6.8292028e-01 2.7678648e-01
 2.6677484e-02 1.4240659e-03 1.9490668e-05 2.0246966e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_male/awe_African_683_0_face0.png,Black,Black,Male,3-9,"[1.0406683e-03 9.9696195e-01 1.3847951e-03 3.5858571e-05 9.9315068e-05
 2.3161915e-04 2.4580606e-04]",[8.7525157e-05 9.9956799e-01 8.6929198e-05 2.5759515e-04],[0.90159935 0.09840061],"[2.0703973e-01 7.3894638e-01 3.5776988e-02 1.3639326e-02 3.8281470e-03
 6.9899502e-04 6.2956700e-05 5.5445703e-06 1.9407364e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_male/amazed_African_339_1_face0.png,Black,Black,Male,20-29,"[3.2055588e-05 9.8038858e-01 2.0432153e-03 2.8157945e-06 1.1985468e-04
 1.5807655e-02 1.6058245e-03]",[2.3224173e-05 9.7582626e-01 5.2892494e-05 2.4097610e-02],[9.9994707e-01 5.2881383e-05],"[2.5619926e-07 1.5319265e-04 6.6543885e-02 8.2376581e-01 1.0692245e-01
 2.5953252e-03 1.8723740e-05 3.1934786e-07 1.2958379e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_male/anxious_African_920_0_face0.png,Black,Black,Male,30-39,"[6.2341662e-04 9.8570096e-01 1.2380265e-03 1.4959436e-04 2.3031705e-03
 9.7308187e-03 2.5397193e-04]",[0.00176736 0.98988765 0.00267946 0.00566548],[0.99694395 0.00305608],"[1.02026215e-05 2.25693511e-04 6.91547012e-03 2.59501696e-01
 5.91226459e-01 1.28295615e-01 1.33987311e-02 3.51832045e-04
 7.42508273e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_male/distressed_African_171_2_face0.png,Black,Black,Male,10-19,"[7.1945698e-07 9.9998701e-01 3.6942401e-06 2.7988142e-07 2.4643948e-06
 4.7361445e-06 1.1085702e-06]",[2.8880746e-05 9.9994427e-01 9.0297044e-06 1.7839462e-05],[0.962821   0.03717899],"[7.39598981e-05 1.63268611e-01 6.07407808e-01 1.88283488e-01
 3.72785069e-02 3.55631579e-03 1.21953795e-04 6.96059897e-06
 2.30149931e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_male/anxious_black_111_0_face0.png,Black,Black,Male,20-29,"[5.8911010e-05 9.9921727e-01 4.3035930e-04 1.6280872e-07 4.3890304e-06
 2.4891284e-04 3.9988758e-05]",[2.2242361e-05 9.9980736e-01 1.3203354e-06 1.6909132e-04],[9.9995279e-01 4.7182715e-05],"[1.5919801e-07 1.3733652e-05 3.4733196e-03 5.1929861e-01 4.6013564e-01
 1.6855188e-02 2.1885482e-04 4.3127184e-06 2.4282971e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_male/anxious_African_883_1_face0.png,Middle Eastern,Black,Male,20-29,"[1.9127356e-01 1.0511201e-01 6.0293004e-03 8.3893007e-03 2.9404382e-03
 3.9351062e-04 6.8586183e-01]",[5.5211093e-02 9.4298452e-01 3.1721668e-04 1.4872274e-03],[0.9684409  0.03155912],"[5.7327536e-05 2.1825470e-03 4.8715714e-02 5.1599675e-01 3.7556279e-01
 5.2767109e-02 4.2415508e-03 4.1490482e-04 6.1299834e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_male/amazed_African_181_0_face0.png,Black,Black,Male,3-9,"[1.1550023e-03 9.9597490e-01 2.0988979e-03 5.9048532e-05 1.4178579e-04
 2.5035461e-04 3.2012214e-04]",[1.5450527e-04 9.9928761e-01 1.9918531e-04 3.5869543e-04],[0.8705083  0.12949166],"[2.3891863e-01 6.7292643e-01 4.6985354e-02 2.9811062e-02 9.5195789e-03
 1.6767437e-03 1.4896039e-04 1.0386860e-05 2.8203235e-06]"
