face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/anxious_expression_370_9_face0.png,Black,Black,Female,10-19,"[0.07122286 0.44697845 0.27707765 0.00523671 0.00781312 0.03185138
 0.15981987]",[0.31630597 0.3934193  0.05940197 0.23087275],[0.01199357 0.9880065 ],"[8.0424819e-05 6.9087006e-02 4.6102941e-01 3.7098309e-01 8.2578987e-02
 1.1953908e-02 3.3596586e-03 7.6446694e-04 1.6299220e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/fear_american_275_2_face0.png,Black,Indian,Female,40-49,"[4.0694125e-04 5.2210027e-01 1.1511861e-02 5.3250341e-04 5.5162150e-02
 4.0835670e-01 1.9296440e-03]",[0.00157429 0.12166414 0.07487865 0.801883  ],[0.01025519 0.9897448 ],"[2.4659178e-06 1.6848628e-05 3.6763851e-04 1.2216750e-02 1.4018966e-01
 3.7188658e-01 3.5499305e-01 1.1204977e-01 8.2771908e-03]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/surprised_expression_231_0_face0.png,Black,Black,Female,20-29,"[6.5420137e-04 9.5333260e-01 1.9820040e-02 7.6334062e-04 4.7484874e-03
 2.0532779e-02 1.4858966e-04]",[5.1848645e-05 9.9894154e-01 3.7889724e-04 6.2767346e-04],[0.00145752 0.9985425 ],"[2.4766285e-05 9.4766738e-03 2.2195588e-01 6.3275343e-01 1.3003822e-01
 5.4185521e-03 3.1698926e-04 1.4716928e-05 7.7137923e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/annoyed_African_387_0_face0.png,East Asian,Black,Female,20-29,"[0.06624387 0.12626934 0.04008142 0.607731   0.11872345 0.02296476
 0.01798612]",[0.01797603 0.6672165  0.30638763 0.00841988],[0.02319276 0.97680724],"[2.0614974e-04 2.7148096e-02 1.6004615e-01 4.8105553e-01 1.7626657e-01
 7.2654195e-02 4.6156339e-02 2.7035452e-02 9.4314832e-03]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/fighting_black_88_0_face0.png,Black,Black,Female,60-69,"[0.03496849 0.73242307 0.18065916 0.003952   0.00860677 0.00692447
 0.03246605]",[0.0245892  0.66161513 0.29912892 0.01466669],[0.35251385 0.64748615],"[3.1477884e-05 1.0519466e-04 5.7196454e-04 4.4284575e-03 1.8355548e-02
 1.0407178e-01 4.0866494e-01 4.2199796e-01 4.1772719e-02]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/heartbroken_european_577_1_face0.png,Black,Black,Female,30-39,"[7.4166259e-05 9.9653780e-01 2.2844123e-03 8.5650288e-05 3.2041522e-04
 5.0321739e-04 1.9430846e-04]",[6.0533610e-05 9.9924731e-01 2.3528753e-04 4.5688674e-04],[0.00659993 0.99340004],"[9.9512263e-08 1.8057761e-05 3.0520430e-03 2.8097260e-01 6.1548984e-01
 9.1608815e-02 8.6097689e-03 2.4347076e-04 5.2110058e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/anxious_African_388_0_face0.png,Black,Black,Female,3-9,"[7.7262615e-05 9.9654227e-01 1.2783684e-03 4.6710520e-05 3.9273885e-04
 1.6333817e-03 2.9110663e-05]",[7.7504426e-04 9.9110311e-01 7.8224606e-04 7.3396321e-03],[0.02982505 0.97017497],"[0.02024746 0.43676984 0.1525164  0.05280939 0.12774985 0.1203162
 0.07871281 0.01000752 0.00087056]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/afraid_grandmother_695_0_face0.png,Black,Black,Female,30-39,"[3.7408383e-03 9.1740167e-01 2.6549444e-02 8.0924743e-04 3.7718781e-03
 4.2841792e-02 4.8850221e-03]",[9.2645927e-04 9.5166367e-01 1.2407337e-02 3.5002548e-02],[0.35394755 0.6460524 ],"[0.00072549 0.00712857 0.0243885  0.11074051 0.2885388  0.26189813
 0.2476849  0.05289062 0.00600442]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/afraid_grandmother_387_0_face0.png,Black,Black,Female,20-29,"[0.03304068 0.7704302  0.10134403 0.0306155  0.0590034  0.00402977
 0.00153645]",[3.9904818e-04 9.7241324e-01 2.3844525e-02 3.3432434e-03],[0.00884641 0.99115354],"[1.0846556e-04 3.4228787e-03 4.2773448e-02 5.7031637e-01 3.2459024e-01
 5.5956215e-02 2.7270622e-03 1.0147064e-04 3.8035364e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/mad_couple_375_0_face0.png,Black,Black,Female,10-19,"[1.1285613e-05 9.9360788e-01 3.9791397e-04 3.1982734e-05 5.4572168e-04
 5.3385743e-03 6.6622611e-05]",[1.4620777e-05 9.9740022e-01 1.6230792e-04 2.4228445e-03],[0.04141871 0.95858127],"[1.9876016e-04 6.9792911e-02 3.7020329e-01 2.8660104e-01 2.0689820e-01
 4.8524182e-02 1.4012310e-02 3.4055605e-03 3.6372236e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/awe_american_330_0_face0.png,Black,Black,Female,10-19,"[0.00858908 0.91659045 0.01676497 0.01420876 0.04065505 0.00215146
 0.00104017]",[2.3191866e-04 9.9484283e-01 4.6311500e-03 2.9407581e-04],[0.03166319 0.9683368 ],"[6.4925298e-05 5.1619317e-02 4.3623865e-01 4.3434548e-01 6.9403686e-02
 7.2485013e-03 9.8182191e-04 8.9655630e-05 7.9466317e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/angry_woman_103_0_face0.png,Black,Black,Female,20-29,"[0.0042507  0.441631   0.19456485 0.00101463 0.01630799 0.34177247
 0.00045837]",[5.7149836e-04 8.7592888e-01 9.2141418e-04 1.2257827e-01],[0.00112477 0.9988752 ],"[1.4641864e-06 3.0581912e-03 1.3676886e-01 7.3565263e-01 1.2250123e-01
 1.9904422e-03 2.6811669e-05 3.1457688e-07 6.1820375e-09]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_female/astound_lady_234_2_face0.png,Black,Black,Female,20-29,"[6.6675676e-04 9.8883194e-01 6.9280360e-03 1.7377615e-05 1.8157861e-04
 3.1115187e-03 2.6278014e-04]",[3.1471383e-05 9.9887085e-01 1.1537298e-04 9.8229165e-04],[0.02907287 0.9709271 ],"[9.2816390e-07 5.3034939e-05 1.2656993e-02 6.4184928e-01 3.3535096e-01
 9.9187465e-03 1.6718144e-04 2.6854509e-06 6.6073490e-08]"
