face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_male/amazed_president_67_3_face0.png,Black,Black,Male,40-49,"[3.5848070e-06 9.9993998e-01 2.2126893e-05 2.9985691e-07 1.9049603e-06
 2.4459232e-05 7.5860271e-06]",[1.7661358e-06 9.9994659e-01 2.1302378e-06 4.9464608e-05],[9.9976087e-01 2.3918098e-04],"[4.8191223e-06 6.2376974e-05 8.3754252e-04 3.2175869e-02 2.4394520e-01
 5.2243751e-01 1.8569498e-01 1.3449785e-02 1.3919255e-03]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_male/afraid_African_214_0_face0.png,Black,Black,Male,40-49,"[3.9733718e-03 9.1495973e-01 5.1919904e-02 5.0755078e-04 1.6526573e-03
 1.6915787e-03 2.5295211e-02]",[0.00932636 0.92608017 0.06147676 0.00311659],[0.9966191  0.00338091],"[0.00891304 0.07912414 0.03321818 0.11033823 0.26129386 0.2926038
 0.14624025 0.05767596 0.01059259]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_male/afraid_european_318_1_face0.png,Black,Black,Male,30-39,"[4.8583766e-05 9.9866486e-01 4.9715186e-04 1.5923641e-05 4.7371574e-04
 2.2561399e-04 7.4219781e-05]",[1.7626153e-04 9.8672724e-01 1.1623600e-02 1.4728801e-03],[9.9998522e-01 1.4740625e-05],"[1.7012988e-08 4.8112764e-07 8.3282124e-04 4.4143945e-01 5.1792985e-01
 3.7081335e-02 2.6432858e-03 6.7367815e-05 5.4715019e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_male/awe_wife_610_0_face0.png,Black,Black,Male,3-9,"[0.0207737  0.48183045 0.3388121  0.00673065 0.05134949 0.0714123
 0.02909123]",[0.00481821 0.57130516 0.03230339 0.39157328],[0.7521853  0.24781476],"[6.2543549e-02 8.4406114e-01 6.4668894e-02 1.9039292e-02 7.6669124e-03
 1.7437390e-03 2.1494750e-04 5.1884945e-05 9.6057056e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_male/shocked_expression_12_0_face0.png,Black,Black,Male,20-29,"[7.3833071e-05 9.9945050e-01 4.0784027e-04 6.0789803e-06 3.2256194e-05
 1.8462222e-05 1.0947072e-05]",[3.5335841e-05 9.9992728e-01 3.0506912e-05 6.8071804e-06],[9.993204e-01 6.796108e-04],"[1.0403184e-06 1.5915225e-04 2.6612299e-02 8.4518641e-01 1.2624887e-01
 1.7745667e-03 1.7013466e-05 5.1905397e-07 7.6418935e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_male/awe_grandfather_908_1_face0.png,Black,Black,Male,30-39,"[1.22520805e-05 9.99778807e-01 4.17927149e-05 6.29352144e-08
 5.86072076e-07 1.57273273e-04 9.17981743e-06]",[1.7066939e-05 9.9991614e-01 2.1422775e-06 6.4746797e-05],[9.9985188e-01 1.4814913e-04],"[2.58876685e-06 9.71133340e-05 1.87708891e-03 1.05920084e-01
 4.98254299e-01 3.34276557e-01 5.72260320e-02 2.25825584e-03
 8.79966537e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_male/shocked_expression_510_0_face0.png,Black,Black,Male,3-9,"[0.03349705 0.47083163 0.1117017  0.01671276 0.04174209 0.01353244
 0.3119823 ]",[0.00357411 0.9471369  0.04538834 0.00390068],[0.5837516  0.41624838],"[1.8445782e-02 8.2330829e-01 1.4255941e-01 9.6191736e-03 3.7907425e-03
 1.8314234e-03 3.3540404e-04 8.0411795e-05 2.9356188e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_male/astound_american_691_1_face0.png,Black,Indian,Male,40-49,"[0.0042638  0.66063035 0.08165559 0.00391214 0.05464714 0.17884368
 0.01604737]",[0.05282963 0.1352438  0.00662039 0.80530614],[9.9974436e-01 2.5564435e-04],"[1.5331589e-05 2.4085610e-05 1.0038717e-03 5.0094768e-02 1.9226670e-01
 3.7376994e-01 3.1764436e-01 6.0799073e-02 4.3818750e-03]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_male/distressed_African_535_0_face0.png,Black,Black,Male,30-39,"[1.3917590e-05 9.9957997e-01 6.0055907e-05 1.4043687e-06 8.8013476e-06
 3.1719642e-04 1.8632509e-05]",[1.2273756e-04 9.9872345e-01 1.0133531e-04 1.0524337e-03],[0.9679953  0.03200468],"[1.15128984e-07 5.33173115e-05 6.80067670e-03 3.65148097e-01
 5.94167292e-01 3.30188014e-02 8.04885116e-04 6.59852731e-06
 3.10201187e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_fear_male/ecstatic_infant_161_0_face0.png,Black,Black,Male,0-2,"[0.02176257 0.61435384 0.21206552 0.03104823 0.07476429 0.03410622
 0.01189934]",[0.06334546 0.7267547  0.17202036 0.03787943],[0.5422845 0.4577155],"[7.4140704e-01 2.2809574e-01 1.0812385e-02 1.3088262e-02 5.2739941e-03
 1.1164537e-03 1.7202842e-04 2.8600945e-05 5.4285892e-06]"
