face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/hostile_black_550_3_face0.png,Black,Black,Female,30-39,"[3.5456658e-04 9.9176651e-01 5.7905074e-03 1.1068714e-04 4.7260241e-04
 1.3197819e-03 1.8532806e-04]",[0.00246501 0.99370754 0.00139104 0.00243633],[0.00977815 0.99022186],"[3.08844283e-05 3.09041445e-03 3.27293687e-02 3.59441727e-01
 4.91152525e-01 1.00909606e-01 1.22237215e-02 4.05019120e-04
 1.67358157e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/fighting_black_664_0_face0.png,Black,Black,Female,20-29,"[1.6387863e-04 9.8682660e-01 1.2295164e-02 5.2922773e-05 3.0817601e-04
 2.5055933e-04 1.0272194e-04]",[7.7931740e-04 9.9645412e-01 4.2372866e-04 2.3428369e-03],[0.00384901 0.996151  ],"[1.1110541e-04 1.9505661e-03 5.1887412e-02 4.2383099e-01 4.1909292e-01
 9.5163986e-02 7.6743052e-03 2.8074597e-04 7.9108622e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/distaste_black_875_0_face0.png,Black,Black,Female,30-39,"[3.1976542e-05 9.9379277e-01 9.1867283e-04 2.1053453e-05 2.0782350e-04
 4.8383046e-03 1.8944639e-04]",[8.6909509e-04 9.3846256e-01 1.1959189e-03 5.9472453e-02],[0.01450828 0.9854917 ],"[1.8273895e-05 1.4155899e-03 2.2272529e-02 3.8776553e-01 5.1332361e-01
 6.7902640e-02 7.0077586e-03 2.8109970e-04 1.3055200e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/mad_black_476_0_face0.png,Latino_Hispanic,Asian,Male,20-29,"[0.02404263 0.12838419 0.7021839  0.06665831 0.05890918 0.01239162
 0.00743018]",[0.0213641  0.35239342 0.55543035 0.07081209],[0.5804789  0.41952115],"[1.7401040e-05 1.1064540e-02 1.9131967e-01 7.0558369e-01 8.8994689e-02
 2.9363066e-03 7.7383775e-05 6.0349475e-06 3.0697660e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/angry_black_737_0_face0.png,Latino_Hispanic,Indian,Female,20-29,"[9.8764174e-02 5.1483940e-02 4.6618032e-01 3.2311582e-04 1.1191095e-03
 3.5020578e-01 3.1923495e-02]",[0.03510568 0.04492402 0.01798673 0.9019836 ],[0.00419068 0.9958093 ],"[1.4208495e-06 6.2652724e-04 4.6506353e-02 7.6453906e-01 1.8389159e-01
 4.3533235e-03 7.8357210e-05 3.2683511e-06 1.1779553e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/amazed_African_31_0_face0.png,Black,Black,Female,20-29,"[6.1590821e-05 9.8898298e-01 1.2686320e-03 3.1312558e-04 2.6692625e-03
 6.6765319e-03 2.7855371e-05]",[0.00171116 0.97915816 0.00795736 0.01117328],[0.00986196 0.99013805],"[2.4120096e-04 9.2774794e-02 2.8701174e-01 3.9847091e-01 1.8696479e-01
 2.7786059e-02 4.8859203e-03 1.4826957e-03 3.8184048e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/fierce_African_216_0_face0.png,Black,Black,Female,50-59,"[5.2463694e-04 9.7581476e-01 7.7252211e-03 9.1899907e-05 6.7028753e-04
 1.1335291e-02 3.8379657e-03]",[4.2931637e-04 9.5627183e-01 7.4989349e-04 4.2548969e-02],[0.21859017 0.78140986],"[0.00057602 0.01534242 0.02578181 0.04400065 0.25377983 0.28582293
 0.2895719  0.07920446 0.00591992]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/amazed_African_14_0_face0.png,Black,Black,Female,30-39,"[2.2387793e-03 9.7884285e-01 1.5685214e-02 2.0865528e-04 8.6115667e-04
 9.1112504e-04 1.2521088e-03]",[1.5323231e-03 9.9694991e-01 1.0627192e-03 4.5514395e-04],[0.0074136 0.9925864],"[3.9282419e-05 4.4995421e-04 9.4616618e-03 1.2052586e-01 5.4333240e-01
 2.7953067e-01 4.4975452e-02 1.6321901e-03 5.2575255e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/amazed_African_221_0_face0.png,Black,Black,Female,20-29,"[8.77956772e-05 9.74983990e-01 4.81621595e-03 2.49894499e-03
 1.18598593e-02 5.64558757e-03 1.07616164e-04]",[7.4904179e-04 8.0049038e-01 1.4656527e-01 5.2195255e-02],[0.01228015 0.98771983],"[2.4204026e-03 1.0900712e-01 2.4294190e-01 5.4404855e-01 9.5177002e-02
 6.0033859e-03 3.7296748e-04 2.5971245e-05 2.7530834e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/distressed_African_523_0_face0.png,Black,Black,Female,20-29,"[0.00639427 0.91783667 0.0675061  0.00096193 0.00371237 0.0026253
 0.00096338]",[6.4195925e-03 9.9147189e-01 8.9524343e-04 1.2133064e-03],[0.00744522 0.9925548 ],"[1.9348143e-05 1.1707639e-03 3.8571294e-02 6.3749999e-01 2.9378709e-01
 2.6960092e-02 1.9050660e-03 8.3112071e-05 3.1740651e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/amazed_African_24_0_face0.png,Latino_Hispanic,White,Female,20-29,"[0.08309684 0.01825776 0.78448874 0.00281535 0.00658694 0.08588466
 0.0188697 ]",[0.80974126 0.01573602 0.03904441 0.13547833],[0.01501582 0.9849842 ],"[3.3033778e-06 1.2491377e-03 5.1812477e-02 7.1728224e-01 2.2414407e-01
 5.3955261e-03 1.0475726e-04 7.9640986e-06 4.8540096e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/mad_black_54_0_face0.png,Black,Black,Female,10-19,"[1.00893555e-02 9.67233300e-01 1.88881531e-02 6.45249675e-05
 3.33452161e-04 2.14158138e-03 1.24961289e-03]",[0.00743046 0.9872363  0.00141099 0.00392215],[0.01402592 0.9859741 ],"[8.3716103e-04 1.3089813e-01 3.7516877e-01 3.2760397e-01 1.4582923e-01
 1.6129252e-02 2.9995246e-03 4.6362853e-04 7.0297036e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/hostile_black_388_1_face0.png,Black,Black,Female,40-49,"[2.3372108e-04 9.9533737e-01 3.8953717e-03 9.8883553e-05 1.9091272e-04
 5.6189016e-05 1.8755392e-04]",[7.2654989e-04 9.9760234e-01 1.6181729e-03 5.2957774e-05],[0.09966931 0.90033066],"[3.9611987e-05 1.2466968e-03 8.1299171e-03 5.8723100e-02 2.5764737e-01
 3.5053754e-01 2.3466116e-01 8.1238128e-02 7.7764913e-03]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/hostile_black_550_2_face0.png,Black,Black,Female,30-39,"[6.81143429e-05 9.99280095e-01 4.54132998e-04 4.63381093e-06
 6.61960257e-06 6.97893192e-05 1.16742944e-04]",[4.4877990e-04 9.9906105e-01 9.5678035e-05 3.9452605e-04],[0.00113188 0.9988681 ],"[4.4858816e-06 4.5026591e-04 8.8324063e-03 2.4820140e-01 5.7973522e-01
 1.2787034e-01 3.3328496e-02 1.5198560e-03 5.7559660e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/excited_black_33_0_face0.png,Black,Black,Female,20-29,"[1.3738325e-04 9.9130625e-01 3.8434349e-03 3.8318649e-06 5.3413482e-05
 4.5728306e-03 8.2822946e-05]",[3.7908880e-04 9.0749234e-01 3.3903780e-04 9.1789536e-02],[0.00874109 0.9912589 ],"[9.5078019e-07 3.8381554e-03 3.9094740e-01 5.4948437e-01 5.4314770e-02
 1.3883782e-03 2.5623813e-05 4.0293904e-07 1.5087700e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_female/amazed_African_16_0_face0.png,Black,Black,Female,20-29,"[3.70137968e-05 9.95258868e-01 1.49347773e-03 2.74968588e-05
 1.04580286e-04 2.70577031e-03 3.72735027e-04]",[1.5475442e-04 9.7848356e-01 2.0161920e-04 2.1160081e-02],[0.00122418 0.9987758 ],"[7.7538436e-07 5.4483692e-04 3.4488857e-02 5.4377353e-01 3.8886458e-01
 3.0492742e-02 1.7952360e-03 3.8170703e-05 1.2335416e-06]"
