face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_male/heartbroken_African_560_0_face0.png,Black,Black,Male,60-69,"[0.00148372 0.9151262  0.01480426 0.00786998 0.0419798  0.01692407
 0.00181191]",[9.1011869e-04 9.1444600e-01 7.8458853e-02 6.1849975e-03],[0.88061523 0.11938474],"[4.5984936e-05 3.2536528e-04 1.3363943e-03 1.7379478e-02 6.1988711e-02
 1.4952035e-01 2.9411739e-01 3.6474115e-01 1.1054515e-01]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_male/annoyed_African_236_0_face0.png,Black,Black,Male,40-49,"[0.00230311 0.9144578  0.05118278 0.0041026  0.01784462 0.00883459
 0.00127457]",[0.00318424 0.97978246 0.00173078 0.01530251],[0.9921479 0.0078521],"[1.6468970e-05 6.6469649e-05 2.0430672e-03 5.7662196e-02 2.5407666e-01
 4.4379354e-01 2.1452394e-01 2.6044965e-02 1.7727192e-03]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_male/amazed_black_3_0_face0.png,Black,Black,Male,30-39,"[3.16600967e-03 9.23430681e-01 1.12587875e-02 8.23656010e-05
 2.92478508e-04 1.75044294e-02 4.42651398e-02]",[1.1353018e-02 9.7941744e-01 3.1878887e-04 8.9107128e-03],[0.9404365  0.05956354],"[4.7102119e-04 9.1810673e-03 3.8438302e-02 1.7425761e-01 5.5753088e-01
 1.9966476e-01 1.9424565e-02 9.5280062e-04 7.9055659e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_male/amazed_African_4_0_face0.png,Black,Black,Male,10-19,"[0.00323773 0.94935834 0.02208098 0.00451783 0.01187748 0.0026816
 0.00624602]",[6.9877697e-04 9.3408984e-01 6.4279184e-02 9.3219726e-04],[0.9882476  0.01175241],"[6.7838104e-05 3.8958840e-02 7.7954471e-01 1.5485628e-01 2.1180982e-02
 4.5761722e-03 5.5457529e-04 2.1129267e-04 4.9290262e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_male/fighting_African_44_1_face0.png,Black,Black,Male,40-49,"[1.2548072e-02 9.7231400e-01 8.9395437e-03 1.5158423e-03 3.5823958e-03
 3.1976108e-04 7.8037480e-04]",[9.0759358e-04 9.9846327e-01 3.6788604e-04 2.6129978e-04],[0.7908109  0.20918916],"[6.2528539e-05 5.0506310e-04 4.6362346e-03 1.2588370e-01 2.5911677e-01
 3.5794157e-01 2.0485741e-01 3.6523104e-02 1.0473591e-02]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_male/excited_black_94_0_face0.png,Black,Black,Male,30-39,"[3.5389641e-03 9.1885900e-01 2.9538881e-02 2.5628114e-04 2.2596649e-03
 1.7296370e-02 2.8250858e-02]",[0.00251229 0.9915547  0.00237566 0.00355738],[9.999976e-01 2.327406e-06],"[2.8871935e-05 1.1743301e-04 3.0711314e-03 1.1623414e-01 3.9991048e-01
 3.4008133e-01 1.2277483e-01 1.7316809e-02 4.6495249e-04]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_male/distressed_African_574_1_face0.png,Black,Black,Male,30-39,"[6.2353825e-03 8.8664120e-01 7.8326538e-02 2.3066184e-04 4.2068851e-03
 1.5164159e-02 9.1951946e-03]",[0.0152353  0.88184255 0.01871874 0.08420339],[0.9987163 0.0012837],"[3.6630124e-06 7.1885079e-05 6.0095964e-03 4.6071070e-01 4.9853396e-01
 3.3272654e-02 1.3629679e-03 3.3183198e-05 1.4258027e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_male/amazed_African_6_0_face0.png,Black,Black,Male,3-9,"[3.5328618e-03 9.8169404e-01 9.2891501e-03 1.5533077e-04 8.4758102e-04
 1.3179228e-03 3.1630828e-03]",[5.0211692e-04 9.9859506e-01 2.8060458e-04 6.2224997e-04],[0.78009826 0.21990171],"[6.70129852e-03 4.84084666e-01 4.55413580e-01 4.62944433e-02
 6.42396137e-03 9.90953646e-04 7.85019802e-05 1.04188475e-05
 2.19672734e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_male/astound_African_12_0_face0.png,Black,Black,Male,20-29,"[1.8341745e-04 9.9501884e-01 4.4422653e-03 1.3361919e-06 2.5477744e-05
 1.7419666e-04 1.5445868e-04]",[1.6193817e-05 9.9990606e-01 1.0235452e-05 6.7463312e-05],[9.9999702e-01 2.9976197e-06],"[2.9246604e-07 1.6111037e-05 1.1014008e-02 6.5099317e-01 3.1124097e-01
 2.6079033e-02 6.4494589e-04 1.0946872e-05 4.8785853e-07]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_surprise_male/amazed_African_17_0_face0.png,Latino_Hispanic,Black,Male,20-29,"[0.08891187 0.15183774 0.5036924  0.00254867 0.03063844 0.02399234
 0.19837862]",[0.23870383 0.36964968 0.33301708 0.0586294 ],[0.99885786 0.00114214],"[2.7558362e-05 8.4026862e-04 7.2946295e-02 7.4916208e-01 1.6947910e-01
 7.3751798e-03 1.5748646e-04 1.1330847e-05 6.8998020e-07]"
